id,latitude,longitude,neighbourhood,room_type,bedrooms,cleaning_fee,security_deposit,Free_parking_on_premises,extra_people,Pool,Dryer,m2,reviews_per_month,Hot_tub,Air_conditioning,Crib,Washer,Dishwasher,Suitable_for_events,property_type,Full_kitchen,Internet,Bathtub,Cable_TV,price
11552883,-22.9614,-43.175309999999996,0,0,1.0,200.0,1000.0,0,100.0,0,0,12169.0,0.06,0,1,0,1,0,0,1,0,0,0,0,399.0
11555728,-22.98401,-43.223,3,0,1.0,149.0,0.0,1,0.0,0,0,23625.0,2.92,0,1,0,0,0,0,1,0,0,0,1,298.0
11562658,-22.96782,-43.39164,7,1,1.0,100.0,1000.0,1,200.0,1,0,9334.0,0.1,0,1,0,1,0,0,1,0,1,0,1,139.0
11562838,-22.98565,-43.19617,1,0,3.0,378.0,2099.0,0,0.0,0,1,20908.0,0.13,1,1,0,1,1,0,1,0,1,1,1,882.0
11565094,-22.98455,-43.20369,1,0,2.0,200.0,2000.0,1,30.0,0,0,20908.0,0.09,0,1,0,1,0,0,1,0,1,0,0,348.0
11565287,-22.98375,-43.20496,1,0,2.0,180.0,1500.0,1,50.0,1,1,20908.0,0.54,0,1,0,1,0,0,1,0,1,1,1,411.0
11570746,-22.97778,-43.19831,13,0,2.0,200.0,418.0,1,25.0,1,0,15616.0,2.81,0,1,0,1,0,0,1,0,1,0,0,223.0
11580865,-22.963260000000002,-43.21775,6,0,2.0,336.0,630.0,1,0.0,0,1,14269.0,0.54,1,1,0,1,0,0,1,0,1,0,1,306.0
11585184,-22.9762,-43.19245,0,0,1.0,150.0,400.0,0,0.0,0,0,12169.0,0.25,0,1,0,1,0,1,1,0,1,0,1,151.0
11588509,-23.002779999999998,-43.35188,7,1,1.0,50.0,0.0,0,0.0,0,0,9334.0,0.03,0,1,0,0,0,0,2,0,1,0,1,218.0
11597419,-22.97135,-43.18441,0,0,3.0,336.0,4198.0,0,0.0,0,1,12169.0,0.27,1,1,0,1,0,0,1,0,0,1,0,945.0
11606120,-22.979589999999998,-43.41591,7,0,2.0,200.0,0.0,1,50.0,1,1,9334.0,0.54,0,1,0,1,0,0,1,0,1,0,1,202.0
11633008,-22.92269,-43.19027,5,0,3.0,149.0,800.0,0,49.0,0,0,7869.0,0.21,0,0,0,1,0,0,4,0,0,0,1,550.0
11636188,-22.98434,-43.20418,1,0,1.0,294.0,1259.0,0,21.0,0,0,20908.0,1.42,0,1,1,1,0,0,1,0,1,0,1,462.0
11637412,-22.9653,-43.19154,0,1,1.0,50.0,0.0,0,0.0,0,0,12169.0,0.61,0,0,0,1,0,0,1,0,1,0,0,55.0
11637570,-22.98322000000001,-43.20941,1,0,2.0,180.0,0.0,0,50.0,0,0,20908.0,0.16,0,1,0,1,0,0,1,0,1,0,1,252.0
