id,neighbourhood,bedrooms,realizado,previsto,diferenca_relativa,ranking
488190,Leblon,2.0,202.0,323.87591713094304,-0.37630435202030965,0.9566934281450856
35961632,Leblon,1.0,231.0,258.90492508222013,-0.10778058808019353,0.9565140210646401
22162864,Copacabana,0.0,151.0,169.12228008949802,-0.10715489455267435,0.9563117837040821
33008814,Barra da Tijuca,1.0,118.0,189.62582296052454,-0.37772188324495914,0.9562352521199662
33032258,Barra da Tijuca,1.0,118.0,189.62582296052454,-0.37772188324495914,0.9562352521199662
20832331,Barra da Tijuca,1.0,218.0,350.3489564754032,-0.3777632387059642,0.9562218851616863
21111933,Barra da Tijuca,2.0,290.0,324.60262793986226,-0.10659996242012226,0.9561324179206111
7576952,Ipanema,2.0,202.0,324.81284787763747,-0.3781034176452994,0.9561119321451012
21108851,Copacabana,0.0,164.0,183.49557347811438,-0.10624547016900998,0.9560178385394125
13710960,Copacabana,3.0,256.0,412.24106998768184,-0.3790041346252824,0.9558208013971713
8845015,Ipanema,0.0,151.0,243.38484413695497,-0.37958338969113925,0.9556335739280407
5202546,Ipanema,2.0,281.0,313.67817934421925,-0.10417740696065247,0.9553493968401932
284762,Copacabana,1.0,252.0,280.8589287795857,-0.10275239923824464,0.9548888042531207
33714227,Barra da Tijuca,2.0,298.0,331.97525635631445,-0.10234273701365337,0.9547563927714963
340432,Leblon,1.0,139.0,225.42660892860914,-0.3833913367165088,0.9544027650388888
27953947,Tijuca,1.0,88.0,142.77073080858798,-0.3836271657250171,0.9543265401234531
27452750,Barra da Tijuca,2.0,202.0,328.6723864492196,-0.38540623329423107,0.9537515079173845
19529251,Leme,1.0,101.0,164.43867475604128,-0.3857892606478247,0.953627705388502
28741867,Copacabana,1.0,88.0,143.45673746513557,-0.3865746457437266,0.953373852340914
2359345,Ipanema,1.0,181.0,200.6255961310095,-0.09782199534596714,0.9532951936022122
13141935,Barra da Tijuca,1.0,101.0,164.9725584325125,-0.38777696751719226,0.9529852365548898
4744014,Copacabana,1.0,168.0,275.46039780442777,-0.3901119676764674,0.9522305151963572
4687900,Laranjeiras,2.0,281.0,310.2922217631985,-0.0944020497734327,0.952189794975853
3264443,Ipanema,1.0,214.0,236.2978985884983,-0.09436350776580138,0.9521773373851139
14964048,Copacabana,1.0,109.0,178.98932309784556,-0.3910251286865054,0.9519353622751389
21635264,Copacabana,4.0,399.0,440.1109393545415,-0.09341040105668363,0.9518692731704393
23426208,Ipanema,0.0,197.0,217.24943636036937,-0.09320823427490965,0.9518039285975131
27404553,Botafogo,2.0,202.0,222.5395540800909,-0.09229619500674846,0.9515091382469567
34675613,Catete,1.0,122.0,200.83675162241735,-0.3925414595961709,0.9514452521055178
30458424,Barra da Tijuca,2.0,181.0,298.34883497651657,-0.3933276125772479,0.9511911508612262
18292636,Catete,1.0,126.0,138.57221020686606,-0.09072677839299648,0.95100186965679
1427233,Leme,3.0,252.0,417.2614922007596,-0.396062170341006,0.9503072840476623
12429736,Barra da Tijuca,3.0,210.0,348.43129406953403,-0.39729868248260225,0.949907617212677
26978861,Ipanema,0.0,151.0,250.65591340433872,-0.397580539995406,0.9498165149126918
20960340,Copacabana,1.0,139.0,230.84673351042233,-0.39786888951701627,0.9497233142583718
35329669,Lapa,0.0,97.0,105.97562208582185,-0.08469515827473184,0.9490523226677985
21111751,Copacabana,1.0,88.0,146.69585599699292,-0.4001193871365808,0.9489959059050723
21395583,Ipanema,1.0,210.0,228.96894307011715,-0.08284504796053627,0.9484543279463771
1661504,Barra da Tijuca,2.0,248.0,270.3342110529696,-0.08261703528375619,0.9483806294344096
21646504,Centro,1.0,105.0,175.71682083161974,-0.4024476455750584,0.948243363613063
10825240,Centro,1.0,151.0,164.476703776642,-0.08193685468638323,0.9481607807022981
14160164,Barra da Tijuca,1.0,260.0,283.1035203717982,-0.08160802925183153,0.9480544973782052
24079050,Ipanema,2.0,311.0,338.62671073048097,-0.0815845586158428,0.9480469111730359
23643115,Copacabana,0.0,239.0,260.0883179787604,-0.08108137321447306,0.9478842710257934
17878385,Ipanema,2.0,348.0,378.42192965009804,-0.08039156102350409,0.947661309159246
13541418,Ipanema,2.0,202.0,339.1156999707235,-0.4043330933441328,0.9476339470800209
32488121,Barra da Tijuca,1.0,147.0,159.82730581507002,-0.0802572861355243,0.9476179086800339
3994068,Copacabana,1.0,101.0,169.6539619529187,-0.40467054917332923,0.9475248742301352
32207257,Copacabana,2.0,151.0,254.43253565884032,-0.4065224417585076,0.9469263034410966
21567750,Ipanema,2.0,260.0,281.98684927328645,-0.07797118670586645,0.9468789930699262
28517580,Barra da Tijuca,1.0,273.0,295.6504148705672,-0.07661215317584902,0.9464397247349791
2441948,Centro,1.0,101.0,170.9381371367276,-0.409142970130688,0.9460792933347936
22513655,Catete,0.0,113.0,191.54787913249274,-0.4100691664571319,0.9457799271240527
3156825,Copacabana,2.0,202.0,342.8141111165563,-0.41075937818872255,0.9455568361175394
8470726,Leblon,2.0,302.0,325.627963801562,-0.07256122455122094,0.9451303790620232
20693866,Flamengo,2.0,290.0,312.565773525983,-0.07219527996115394,0.9450120980430409
31505303,Leblon,1.0,202.0,217.53008580099336,-0.07139281788911267,0.9447527253561585
33634079,Copacabana,1.0,151.0,162.60541490752226,-0.07137163860208806,0.9447458797633594
30689125,Glória,0.0,160.0,172.21511669445943,-0.07092941043109036,0.9446029422801773
12652672,Barra da Tijuca,1.0,97.0,165.58098311906917,-0.4141839348166729,0.9444499471007004
2426251,Copacabana,0.0,181.0,194.55897820166362,-0.06969083784768604,0.9442026094668904
13065447,Copacabana,1.0,189.0,203.1024943798644,-0.06943535786167343,0.9441200329405652
17219593,Flamengo,1.0,202.0,217.01501450062747,-0.06918882794897152,0.9440403492669286
21538445,Copacabana,3.0,369.0,395.78590098794774,-0.0676777543643815,0.9435519383757882
2580109,Recreio dos Bandeirantes,3.0,277.0,297.09506163299534,-0.06763849093465912,0.9435392476061952
22100395,Leme,0.0,252.0,269.9109758918155,-0.06635882750835032,0.9431256333647863
13865651,Copacabana,2.0,252.0,269.66987578458696,-0.06552409954273763,0.9428558316597587
26714028,Recreio dos Bandeirantes,2.0,147.0,253.92235419757887,-0.42108287210657236,0.9422200648871246
16552208,Laranjeiras,1.0,151.0,161.0946261811617,-0.06266271209946883,0.9419309708155768
13173739,Centro,1.0,134.0,142.95495313723947,-0.06264178288836586,0.9419242060525964
2664136,Ipanema,1.0,235.0,250.65926661706948,-0.06247232280062498,0.9418694329738329
7216322,Copacabana,1.0,160.0,170.5752342166137,-0.06199747733122962,0.941715952891045
3269307,Leme,1.0,231.0,246.16377067263952,-0.06160033473327409,0.94158758801712
8171172,Copacabana,1.0,168.0,178.83120610957556,-0.060566644632139566,0.9412534775485056
10995473,Copacabana,3.0,403.0,428.30160612385237,-0.05907427327399717,0.9407711116118789
409038,Copacabana,1.0,218.0,231.67883593678116,-0.05904223353622917,0.9407607556920647
30667225,Leblon,0.0,202.0,214.60560024819796,-0.05873844966589503,0.9406625663303175
30692351,Santa Teresa,1.0,101.0,175.99053174860026,-0.4261054899005764,0.9405966487559421
19068542,Copacabana,2.0,197.0,343.6079094023156,-0.42667210326249727,0.9404135073524723
31648067,Copacabana,0.0,248.0,263.19822434107607,-0.05774440302219075,0.9403412694642762
17277005,Barra da Tijuca,1.0,130.0,226.88201630977372,-0.4270149652473808,0.9403026871189094
27138452,Barra da Tijuca,0.0,185.0,195.9479038670204,-0.05587150283807152,0.9397359085756528
15254989,Flamengo,1.0,97.0,170.00621379806137,-0.4294326199440004,0.9395212500685316
36278689,Copacabana,1.0,202.0,213.79119465659923,-0.05515285452021901,0.9395036262639782
12628229,Barra da Tijuca,1.0,122.0,213.88257229790193,-0.42959354430208174,0.9394692359178388
14782104,Copacabana,1.0,109.0,191.26600983550935,-0.4301130656004113,0.9393013156637419
945511,Leme,2.0,357.0,376.6820113807428,-0.05225099894894791,0.9385656852662804
829813,Copacabana,1.0,214.0,225.72372752721185,-0.05193839236860254,0.9384646442183526
20283820,Leblon,1.0,231.0,243.46490056017015,-0.05119793666968253,0.9382253133006213
23524532,Barra da Tijuca,2.0,298.0,312.68500733213403,-0.04696421954294605,0.9368568865239288
14732066,Santa Teresa,2.0,130.0,231.2472031214046,-0.4378310386234159,0.9368067038060499
6183618,Copacabana,3.0,361.0,378.0324718532892,-0.04505557887603728,0.9362399735565534
16477145,Copacabana,3.0,357.0,373.7054975774461,-0.044702306189606134,0.9361257883644127
16850010,Copacabana,1.0,88.0,157.27877871152148,-0.44048395644393734,0.9359492247460909
9804617,Copacabana,1.0,97.0,173.41174731033598,-0.4406376643768559,0.9358995430963963
21496900,Ipanema,2.0,399.0,416.8930178848935,-0.04291992697712643,0.9355496857653102
2620957,Laranjeiras,2.0,197.0,353.6286102842494,-0.44291837744222706,0.9351623684729675
26598178,Laranjeiras,2.0,176.0,316.0623241634023,-0.4431478017322651,0.9350882136977869
19119557,Santa Teresa,0.0,101.0,181.39043112289644,-0.4431900328216871,0.9350745637179124
10834933,Copacabana,3.0,214.0,384.5842273346139,-0.44355492297970467,0.9349566235136344
13221400,Centro,1.0,105.0,109.28511586248622,-0.039210425213605404,0.934350696463608
528389,Gávea,1.0,130.0,234.69975365037695,-0.446100824657635,0.9341337343307682
20270738,Recreio dos Bandeirantes,2.0,151.0,272.8311833869049,-0.4465442031753928,0.9339904250312219
15272157,Copacabana,1.0,151.0,156.83558685201743,-0.03720830819808518,0.9337035699664672
29208425,Copacabana,0.0,202.0,209.76809164779021,-0.03703180777767279,0.933646521303517
23282476,Copacabana,1.0,210.0,218.0628538088809,-0.036974907317077976,0.9336281298731136
35866998,Copacabana,3.0,340.0,352.96494483286756,-0.03673153672245433,0.9335494673577935
31038809,Botafogo,2.0,139.0,252.16483999195822,-0.44877327067313255,0.9332699433458256
3568260,Leme,1.0,252.0,261.36718822082076,-0.03583918962661348,0.9332610419331612
21131728,Ipanema,0.0,231.0,238.47655852918825,-0.031351335222632226,0.9318104726219707
16390527,Copacabana,1.0,181.0,186.38499791415566,-0.028891799095525195,0.9310154986088697
5681819,Copacabana,2.0,189.0,347.81098962818277,-0.45660141388273856,0.9307397221574142
182139,Copacabana,1.0,130.0,133.74159011875355,-0.02797626464162173,0.9307195785404754
16241516,Copacabana,2.0,168.0,310.84600900727895,-0.4595394660638348,0.9297900816510748
96431,Barra da Tijuca,1.0,302.0,309.6685910871359,-0.02476386468583791,0.9296812630400892
6700121,Barra da Tijuca,2.0,151.0,279.66794757585535,-0.4600739866371576,0.9296173133145677
23924671,Ipanema,1.0,218.0,223.46393781824946,-0.024451094308977295,0.929580169049669
34388715,Barra da Tijuca,0.0,168.0,172.1754320957047,-0.024251033059024207,0.9295155050290888
23679766,Copacabana,1.0,181.0,185.4705835025698,-0.024104003007613728,0.9294679818117113
960286,Copacabana,1.0,218.0,222.8774118823485,-0.021883832197958086,0.9287503757237708
14010176,Recreio dos Bandeirantes,1.0,298.0,304.01047666231824,-0.019770623461093484,0.928067342036422
21666464,Barra da Tijuca,3.0,348.0,354.74492716318156,-0.01901345628003559,0.9278226096147755
29116943,Ipanema,2.0,348.0,354.2537325803774,-0.01765325811763596,0.9273829648460495
15271462,Barra da Tijuca,1.0,239.0,243.26137160093637,-0.01751766658591003,0.9273391387997757
1577986,Copacabana,3.0,290.0,295.1569634183344,-0.017471935469891897,0.9273243575373971
2875274,Copacabana,1.0,252.0,256.3396448643441,-0.01692927704039171,0.9271489588739303
36602871,Copacabana,3.0,348.0,353.58637240316864,-0.015799173382165632,0.926783685507746
11207082,Ipanema,2.0,399.0,405.35155386390295,-0.015669247603366743,0.9267416907524593
21850822,Copacabana,1.0,252.0,255.7742952096592,-0.014756350737142654,0.9264466232080996
10170491,Copacabana,4.0,399.0,404.9392177746184,-0.014666936453470503,0.9264177226234991
12852702,Copacabana,3.0,160.0,303.3369366055217,-0.4725337382566305,0.9255900584846805
584211,Copacabana,1.0,160.0,161.8855648699474,-0.011647517006610042,0.9254417824986718
30847736,Ipanema,1.0,151.0,286.90375137505487,-0.4736910923043133,0.9252159772171907
